-16116,308,-2536,-311,214,-247
-16036,188,-2704,-281,123,-241
-16260,356,-2508,-311,109,-276
-16248,320,-2552,-324,76,-237
-16096,252,-2512,-322,140,-291
-16180,272,-2600,-312,65,-257
-16024,276,-2548,-316,197,-262
-16192,208,-2684,-326,72,-258
-16056,120,-2452,-321,80,-249
-16128,296,-2600,-322,107,-255
-16104,116,-2600,-311,84,-257
-15956,148,-2564,-311,77,-256
-16280,208,-2444,-302,107,-252
-16144,316,-2540,-306,148,-271
-16032,184,-2608,-312,87,-262
-16152,144,-2508,-309,82,-252
-16116,136,-2432,-304,121,-246
-16248,300,-2468,-314,89,-256
-15952,276,-2744,-323,132,-254
-16136,152,-2540,-320,96,-247
-16192,332,-2572,-310,126,-264
-16148,244,-2640,-313,168,-262
-16176,280,-2544,-307,86,-251
-16068,376,-2484,-315,85,-276
-16056,248,-2544,-324,108,-268
-16172,224,-2608,-319,97,-272
-16180,196,-2620,-311,108,-274
-16132,172,-2584,-318,119,-238
-16076,400,-2468,-284,76,-256
-16188,364,-2552,-314,96,-276
-16164,244,-2584,-336,71,-235
-16028,212,-2632,-320,93,-273
-16104,96,-2512,-303,159,-260
-16308,256,-2596,-324,118,-284
-16148,200,-2596,-326,76,-260
-16280,212,-2616,-318,126,-253
-16132,296,-2568,-349,76,-251
-16132,232,-2488,-304,121,-249
-16048,240,-2524,-322,112,-253
-16116,224,-2540,-307,87,-254
-16088,264,-2580,-307,111,-278
-16080,312,-2608,-300,89,-243
-16276,276,-2548,-297,100,-250
-16232,404,-2648,-279,49,-246
-16200,276,-2544,-319,69,-274
-16028,228,-2596,-308,67,-243
-16308,268,-2628,-343,104,-261
-16104,224,-2648,-320,100,-251
-16132,300,-2600,-334,89,-257
-16136,380,-2604,-308,128,-277
-16128,192,-2616,-312,103,-244
-16128,288,-2644,-303,86,-258
-16088,236,-2700,-330,108,-279
-16240,140,-2460,-325,67,-250
-16208,216,-2436,-325,108,-245
-16116,280,-2660,-321,91,-281
-15992,224,-2564,-298,96,-241
-16028,188,-2652,-315,7,-256
-16092,248,-2680,-294,108,-252
-16100,332,-2560,-328,159,-271
-16260,332,-2456,-333,60,-278
-16212,216,-2668,-321,-6,-249
-16108,104,-2564,-333,69,-266
-16196,240,-2600,-323,137,-240
-16192,200,-2528,-311,182,-283
-16104,352,-2540,-309,95,-245
-16172,204,-2620,-324,137,-295
-16052,216,-2560,-311,89,-249
-16136,280,-2656,-307,100,-263
-16144,212,-2556,-325,106,-236
-16300,300,-2564,-309,73,-267
-16116,380,-2448,-299,99,-272
-16148,268,-2424,-326,65,-265
-16108,256,-2624,-314,110,-261
